folder_name,status,online_event_date,online_order_number,online_files,processed_todas_optional_files,factura_files,bookkeeper_workbook,missing_or_warnings,note
2025-12-11__online_14620443__READY_WITH_REVIEW,READY_WITH_REVIEW,2025-12-11,14620443,Order_14620443.xlsx,,FRA 7630.pdf,2025-12-15 - Vilassar.xlsx,,Factura much smaller than online; likely partial fulfillment/returns. Subagent must line-check.
2025-12-18__online_14646628__INCOMPLETE,INCOMPLETE,2025-12-18,14646628,Order_14646628.xlsx,,,2025-23-12 - Vilassar.xlsx,,Factura not found. Do not run production import until factura is added.
2026-01-06__online_14673176__READY_WITH_REVIEW,READY_WITH_REVIEW,2026-01-06,14673176,Order_14673176.xlsx,Order_14668590-2.xlsx,000081 SERVIFLOR VILASSAR SL.pdf; Fra 113.pdf,2026-01-09 - Vilassar.xlsx,,Processed/Todas covers only part of online; facturas need line-level explanation.
2026-01-08__online_14676750__READY,READY,2026-01-08,14676750,Order_14676750.xlsx,,000128 SERVIFLOR VILASSAR SL.pdf,2026-01-13 - Vilassar Hecho.xlsx,,Online base matches factura base.
2026-01-15__online_14695212__READY_WITH_REVIEW,READY_WITH_REVIEW,2026-01-15,14695212,Order_14695212.xlsx,,000238-2 SERVIFLOR VILASSAR SL.pdf,2026-01-19 - Vilassar.xlsx,,Factura includes/excludes items vs online; line-check required.
2026-01-22__online_14710273__READY_WITH_REVIEW,READY_WITH_REVIEW,2026-01-22,14710273,Order_14710273.xlsx,,000358 SERVIFLOR VILASSAR SL.pdf,2026-01-26 - Vilassar.xlsx,,Factura differs from online; likely packaging/returns/substitutions.
2026-01-28_2026-01-29__online_14721344_14723837__READY_WITH_REVIEW,READY_WITH_REVIEW,2026-01-28_2026-01-29,14721344_14723837,Order_14721344.xlsx; Order_14723837.xlsx,,000494 SERVIFLOR VILASSAR SL.pdf,2026-02-02 - Vilassar_.xlsx,,Two online orders likely one supply event; factura includes packaging returns/adjustments.
2026-02-26__online_14807019__INCOMPLETE,INCOMPLETE,2026-02-26,14807019,Order_14807019.xlsx,,,2026-03-02 - Vilassar.xlsx,,Factura not found. Do not run production import until factura is added.
2026-03-10__online_14851852__READY_WITH_REVIEW,READY_WITH_REVIEW,2026-03-10,14851852,Order_14851852.xlsx,Order_14851690-2.xlsx,001369-3 SERVIFLOR VILASSAR SL.pdf,2026-03-12 - Vilassar.xlsx,,Processed/Todas exact duplicate of online; factura higher by likely packaging.
2026-03-12__online_14855590__READY_WITH_REVIEW,READY_WITH_REVIEW,2026-03-12,14855590,Order_14855590.xlsx,,Factura1461_2026.pdf,2026-03-16 - Vilassar.xlsx,,Factura higher by likely packaging: Galleda/Alça. Line-check required.
2026-03-26__online_14884803__READY_WITH_REVIEW,READY_WITH_REVIEW,2026-03-26,14884803,Order_14884803-2.xlsx,,Factura1797_2026.pdf,2026-03-30 - Vilassar.xlsx,,"Near match; factura base higher by 7.50, likely Alstroemeria qty change. Already typical package."
2026-04-07__online_14921295__READY,READY,2026-04-07,14921295,Order_14921295.xlsx,Order_14921022-2.xlsx,Factura2057_2026.pdf,2026-04-09 - Vilassar.xlsx,,Online/processed/factura totals match; minor naming/representation differences only.
2026-04-28__online_14983602__INCOMPLETE,INCOMPLETE,2026-04-28,14983602,Order_14983602-4.xlsx,Order_14981457-4.xlsx; Order_14981805-4.xlsx,Factura2971_2026.pdf,,workbook_missing,"Processed split matches online, but main factura is missing; only credit note found. Do not run production import."
2026-05-05__online_15000475__READY_NO_BOOKKEEPER,READY_NO_BOOKKEEPER,2026-05-05,15000475,Order_15000475-2.xlsx,Order_14995845-2.xlsx,Factura3031_2026.pdf,,workbook_missing,Serviflor layers match; bookkeeper workbook missing. Needs operational allocation before import.
