Order Reference,Vendor Reference,External ID,,Deliver To,Promised Date,Order Deadline,Vendor,Vendor CIF,SKU,Items Name,Order Lines / Quantity,Order Lines / Product / External ID,Order Lines / Custom Description,Unit Price
Holded albaran id: AC260366 Vendor ref:000081,81,AC260366,Gloria RETAIL,Gloria: Recepciones,09/01/2026,10/01/2026,SERVIFLOR VILASSAR SL.,B64410145,8400997,DRACENA SAND LUCKY BAMBOO - plants/38,8,__export__.product_product_7147_e3603200,"SKU: 8400997
Item: DRACENA SAND LUCKY BAMBOO - plants/38 ",0
Holded albaran id: AC260366 Vendor ref:000081,81,AC260366,Gloria RETAIL,Gloria: Recepciones,09/01/2026,10/01/2026,SERVIFLOR VILASSAR SL.,B64410145,8400408,SUCCULENTUS T20 - MIX - planta/15,10,__export__.product_product_7232_3070b4fd,"SKU: 8400408
Item: SUCCULENTUS T20 - MIX - planta/15 ",0
Holded albaran id: AC260366 Vendor ref:000081,Holded albaran id: AC260366 Vendor ref:000081,AC260366,Gloria RETAIL,Gloria: Recepciones,09/01/2026,10/01/2026,SERVIFLOR VILASSAR SL.,B64410145,8400912,AGLAONEMA - Silver Bay - planta/30,6,__export__.product_product_7059_565f5af3,"SKU: 8400912
Item: AGLAONEMA - Silver Bay - planta/30 ",0
Holded albaran id: AC260366 Vendor ref:000081,81,AC260366,Gloria RETAIL,Gloria: Recepciones,09/01/2026,10/01/2026,SERVIFLOR VILASSAR SL.,B64410145,8400998,FICUS BENG AUDREY - planta/154,1,__export__.product_product_7148_80876040,"SKU: 8400998
Item: FICUS BENG AUDREY - planta/154 ",0
Holded albaran id: AC260366 Vendor ref:000081,81,AC260366,Gloria RETAIL,Gloria: Recepciones,09/01/2026,10/01/2026,SERVIFLOR VILASSAR SL.,B64410145,8401001,EUPHORBIA TIRUCALLI - planta/24,6,__export__.product_product_10_1d32eb89,"SKU: 8401001
Item: EUPHORBIA TIRUCALLI - planta/24 ",0
Holded albaran id: AC260366 Vendor ref:000081,81,AC260366,Gloria RETAIL,Gloria: Recepciones,09/01/2026,10/01/2026,SERVIFLOR VILASSAR SL.,B64410145,8401002,MONSTERA OBLIQUA MONKEY MASK - planta/24,6,__export__.product_product_10_1d32eb89,"SKU: 8401002
Item: MONSTERA OBLIQUA MONKEY MASK - planta/24 ",0
Holded albaran id: AC260366 Vendor ref:000081,81,AC260366,Gloria RETAIL,Gloria: Recepciones,09/01/2026,10/01/2026,SERVIFLOR VILASSAR SL.,B64410145,8400700,MONSTERA 7.5L - Adansoni - planta/67,3,__export__.product_product_7006_4fae393d,"SKU: 8400700
Item: MONSTERA 7.5L - Adansoni - planta/67 ",0
Holded albaran id: AC260366 Vendor ref:000081,81,AC260366,Gloria RETAIL,Gloria: Recepciones,09/01/2026,10/01/2026,SERVIFLOR VILASSAR SL.,B64410145,8401003,KALANCHOE OTHER - planta/23,6,__export__.product_product_10_1d32eb89,"SKU: 8401003
Item: KALANCHOE OTHER - planta/23 ",0
Holded albaran id: AC260366 Vendor ref:000081,81,AC260366,Gloria RETAIL,Gloria: Recepciones,09/01/2026,10/01/2026,SERVIFLOR VILASSAR SL.,B64410145,8401004,GYMNOCALYCIUM MIHA BRASIL MIX / planta/14,18,__export__.product_product_10_1d32eb89,"SKU: 8401004
Item: GYMNOCALYCIUM MIHA BRASIL MIX / planta/14 ",0
Holded albaran id: AC260366 Vendor ref:000081,81,AC260366,Gloria RETAIL,Gloria: Recepciones,09/01/2026,10/01/2026,SERVIFLOR VILASSAR SL.,B64410145,8401000,RADERMACHERA SINICA - árbol/ 218,1,__export__.product_product_10_1d32eb89,"SKU: 8401000
Item: RADERMACHERA SINICA - árbol/ 218 ",0
Holded albaran id: AC260366 Vendor ref:000081,81,AC260366,Gloria RETAIL,Gloria: Recepciones,09/01/2026,10/01/2026,SERVIFLOR VILASSAR SL.,B64410145,8400666,PEONIA - flor,60,__export__.product_product_7363_f62be7e6,"SKU: 8400666
Item: PEONIA - flor ",0
Holded albaran id: AC260366 Vendor ref:000081,81,AC260366,Gloria RETAIL,Gloria: Recepciones,09/01/2026,10/01/2026,SERVIFLOR VILASSAR SL.,B64410145,8400596,PACHIRA - Aquatica - planta/24,24,__export__.product_product_7012_b0b16152,"SKU: 8400596
Item: PACHIRA - Aquatica - planta/24 ",0
